book_title;author;reader_review;rating;label
Le Petit Prince;Antoine deSaint-Exupéry;"Un livre que les adultes recommandent aux enfants, convaincus qu'il leur plaira. On me l'a donc recommandé quand j'étais enfant et j'ai gardé le souvenir très précis de ma réaction: j'avais pas trouvé ça marrant du tout. J'aimais le Petit Nicolas et Vingt Mille Lieues sous les mers , Goscinny et Jules Verne. Mon hypothèse: c'est un livre pour enfants pour adultes, autrement dit un livre pour personne dont tout le monde a un exemplaire, et pas qu'en France. Il est donc essentiel de dire que c'est merveilleux, beau, sensible, original, poétique, etc. etc. Saint-Exupéry est un héros dans notre panthéon national et il a d'ailleurs une plaque amplement méritée sur le mur du Panthéon; Vol de Nuit c'est vraiment chouette. Mais cette histoire de fleur sur un astéroïde, cette collection de personnages adultes qui ne font que passer, qui se finit par le quasi-suicide de l'enfant?";0.5;-1
Le Petit Prince;Antoine deSaint-Exupéry;"En mettant cet unique coeur, je risque de m'attirer les foudres de l'ensemble de la population française qui encense et adore ce livre. En effet, je suis navrée de vous dire que je ne l'ai pas du tout apprécié. Une des raisons expliquant ce résultat est que je ne l'ai pas eu comme livre de chevet étant enfant. Je l'ai découvert trop tard, à quinze ans d'abord et aujourd'hui. Malgré ces dix ans d'écart, mon opinion reste à peu près le même que dans mes vieux souvenirs. Le style d'écriture est extrêmement simple à mon goût, dépourvu de magie et de poésie comme je m'y attendais. Les dialogues sont décousus ; l'histoire elle-même semble très étrange, comme un mélange de délires, d'hallucinations et de contes pour enfants. L'auteur dissémine ici ou là de jolis citations dont le célèbre ""On ne voit bien qu'avec le coeur. L'essentiel est invisible pour les yeux"" et critique très subtilement les défauts de certains adultes comme la vanité, l'amour du pouvoir ou la cupidité. Malgré un effort surhumain pour saisir l'engouement suscité par ce livre, l'ensemble ne passe pas chez moi. Le petit Prince m'a paru naïf et agaçant à force d'insister sur ses questions. Pour dire la vérité je me suis ennuyée, j'ai trouvé l'ensemble mièvre et sans grande consistance. Suis-je passé à côté d'un chef-d'oeuvre ? Non…et même si c'était le cas, ça ne changera pas grand-chose à ma passion pour la lecture ni à ma philosophie de vie. A lire ? Je ne sais pas ! Lien : http://leslecturesdehanta.co..";1.0;-1
Le Petit Prince;Antoine deSaint-Exupéry;Chacun peut avoir sa propre interpretation du Petit Prince, la mienne est tres personnelle. J'y vois l'histoire d'un homme amoureux (sa rose). Elle est un grand mystere pour lui. tout comme ce qui se passe en lui. Alors il part à la rencontre des autres, et à travers différents personnages ce sont des émotions et des sentiments qu'il découvre. il comprend enfin ce que sont l'amitié, l'amour, il comprend surtout ce qu'il ressent pour sa rose. . . la fin se vit selon son optimisme : une grande tristesse, trop tard, ou pleine d'espoir, il trouve la voie pour la retrouver. . .;5.0;1
Le Petit Prince;Antoine deSaint-Exupéry;Critique du soir, bonsoir! Le Petit Princec'est un grand rêve de papier qui nous emporte dans son univers en un clin d'oeil. C'est un monde idéal duquel on ne voudrait jamais ressortir, pour moi c'est la foi inébranlable de l'innocence qui prédomine ce roman. Comment résister à tant de pureté, tant de simplicité? Ce livre est très addictif, qu'on soit petit ou grand on a tous besoin de s'évader et c'est réconfortant de s'imaginer un monde tout en douceur, tout en couleur pour s'évader du quotidien dans ce tourbillon de fantaisie. Un classique qui est une mine d'or pour nourrir son imaginaire. A lire et à relire sans complexes pour le plus grand des bonheurs!;5.0;1
Le Petit Prince;Antoine deSaint-Exupéry;"Un livre incontournable! Je l'ai lu et relu et lu à mes enfants lorsqu'ils étaient petits. Il faut lire et méditer chaque petit passage pour comprendre toute la richesse de ce livre ""pour enfants"". Pour moi c'est une oeuvre de philosophie majeure qui nous invite à aller vers les autres pour les comprendre et les aimer et surtout à prendre le temps, à consacrer du temps à soi et aus autres. C'est bien loin des visées de notre société de consommation et de rendement et de rentabilité!";5.0;1
Le Petit Prince;Antoine deSaint-Exupéry;"Tant de choses dites en si peu de mots et de pages ! Et pourtant à chaque relecture de nouvelles découvertes. Un livre, pour enfants et adultes, comme le sont souvent les meilleurs. Il nous force à regarder en nous-même et en cela il parle à tout le monde. Mon passage préféré, que je me cite dans la vie courante chaque fois qu'on me donne un rendez-vous : "" Si tu viens, par exemple, à quatre heures de l'après- midi..."" - (mis en ligne par Bonnie - j'aurais bien aimé le faire moi-même). Je me refusais à ajouter, au ""Petit Prince"" une critique de plus. Mais notre avis sur un livre peut permettre de créer des liens avec des ""ami(e)s"" ayant les mêmes affinités littéraires que nous.";3.0;0
Le Petit Prince;Antoine deSaint-Exupéry;Même si je ne savais plus si je l'avais lu un jour, j'avais comme tout le monde des images du Petit Prince en tête...C'est ça les livres mythiques...Alors j'ai voulu le lire pour de vrai. Et alors là, grand moment d'interrogation... Faut-il être un grand rêveur ? humaniste ? Philosophe ? Avoir gardé une âme d'enfant, une candeur juvénile peut-être ? Toujours est-il qu'au risque de choquer, je n'ai rien trouvé de spécialement bouleversant dans ce livre, et sûrement pas révolutionnaire ni original. Il y a quelques rares moments d'émotion et de phrases justes...mais je me suis dit aussi ce Petit Prince, quelle tête à claques ! Enfin, au moins maintenant je l'ai lu ! Mais manifestement la vieillerie me gagne, il est temps de réagir !;3.0;0
Le Petit Prince;Antoine deSaint-Exupéry;Ce livre nous avait été imposé en CM2, après l'étude des Contes du chat perché. Quelle déception, alors que nous nous étions tant amusés avec les animaux de Delphine et Marinette. J'avais trouvé que ce petit prince n'avait aucun intérêt. C'est un texte un peu bête, avais-je dit à la maîtresse, qui n'avait pas apprécié.;1.0;-1
Les Misérables;VictorHugo;"C'est un thriller du XIXè siècle ! A Digne, Jean Valjean, galérien libéré aux idées embrouillées par le bagne avec son passeport de forçat qui l'exclut de la société, tuera t-il l'évêque Bienvenu pour lui voler ses chandeliers ? A Montreuil-sur-Mer, Monsieur Madeleine, riche homme d'affaires altruiste, ira t-il se dénoncer à la place de Champmathieu, alors que Fantine a besoin qu'il extirpe sa fille Cosette des mains du cupide Thénardier, et que la ville de Montreuil, qu'il a fait prospérer, a besoin de lui ? A Paris, l'implacable inspecteur Javert reprendra t-il le forçat reconnu Jean Valjean, alors que celui-ci a promis à Fantine mourante qu'il s'occupera de sa petite Cosette ? . Victor Hugo fait de son oeuvre un immense procès à la Justice, qui ne sait pas s'adapter aux circonstances. Mérite t-on 5 ans pour le vol d'un pain qui empêcherait une famille de mourir de faim par un rude hiver ? Doit-on infliger 19 ans de galères abrutissantes à un forçat qui s'échappe, mais ne fait rien de mal ? La ""Justice"" ne doit-elle pas tenir compte des bienfaits que Jean Valjean ( Monsieur Madeleine ) a apporté à la ville de Montreuil, et faire grâce de sa peine pour le ""vol"" de 40 sous à Petit-Gervais ? . Au contraire du sens des lois de l'époque, Victor Hugo montre qu'un misérable, si on ne le rend pas à toute extrémité comme lui donner, une fois libéré, un passeport de forçat avec lequel il ne trouve aucun travail, ce misérable peut rester la bonne personne qu'il était. En 1848, alors député, Victor Hugo a fait un discours en ce sens, mais les mentalités évoluent lentement. Avec l'évêque Bienvenu et Monsieur Madeleine, Victor Hugo montre le chemin de l'altruisme et du partage que devraient prendre les gens qui ""réussissent"". . Ce roman est toujours d'actualité : )";5.0;1
Les Misérables;VictorHugo;"Je n'aime pas les Goncourt , misogynes, racistes, homophobes, méprisants envers les ""petites gens""... Cependant, j'aime encore moins Hugo! C'est pourquoi, en guise de chronique, je m'accommode volontiers de cet extrait du journal que tenaient les deux frères. ""15 février 1857 : ""Nous avons été hier soir chez la princesse Mathilde. […] Victor Hugo y était. Il a lu des vers, des vers de lui, des vers de son fils, des vers de sa fille. Il a lu pendant une heure et demie, debout, à côté d'une table, sur laquelle il avait posé son chapeau. Il lisait d'une voix monotone, sans geste, sans expression, sans regard. Il lisait comme un homme qui se récite à lui-même. Il lisait comme un homme qui s'admire. Il lisait comme un homme qui s'ennuie. Il lisait comme un homme qui ennuie les autres."" Ennui est en vérité un terme un peu faible. Hugo et sa logorrhée m'assomment.";0.5;-1
